file,text_elems,size,title_font_px,axis_label_px
Figure10A.svg,14,6668,1,2
Figure10B.svg,15,7075,1,2
Figure11.svg,12,8673,2,0
Figure1A.svg,20,11612,1,0
Figure1B.svg,22,17824,1,1
Figure1C.svg,15,24191,1,0
Figure1D.svg,11,11386,1,1
Figure2A.svg,17,11013,1,2
Figure2B.svg,18,11281,1,2
Figure2C.svg,14,11251,1,1
Figure2D.svg,20,11565,1,2
Figure3A.svg,23,1816561,1,2
Figure3B.svg,16,1805755,1,2
Figure3C.svg,21,13381,1,2
Figure3D.svg,23,14889,1,1
Figure4A.svg,27,17698,1,1
Figure4B.svg,19,12790,1,1
Figure4C.svg,56,55158,1,0
Figure4D.svg,25,978282,1,2
Figure5A.svg,15,7080,1,3
Figure5B.svg,20,8227,1,4
Figure5C.svg,40,21853,1,0
Figure5D.svg,35,20752,1,0
Figure6A.svg,68,23288,1,0
Figure6B.svg,41,22426,1,0
Figure6C.svg,34,15383,1,1
Figure7A.svg,15,16815,1,1
Figure7B.svg,32,14576,1,1
Figure7C.svg,24,15563,1,1
Figure7D.svg,18,11618,1,1
Figure8A.svg,32,20562,1,1
Figure8B.svg,24,27228,1,2
Figure9A.svg,16,10306,1,1
Figure9B.svg,29,16648,1,2
